Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2015-01-02 00:00:00-05:00,24.983852176458168,25.006835465430857,24.914899386944857,24.991512298583984,57100,0.0,0.0,0.0
2015-01-05 00:00:00-05:00,24.899564940895733,24.907225059551607,24.792305744149978,24.830612182617188,81800,0.0,0.0,0.0
2015-01-06 00:00:00-05:00,24.876583777307093,24.876583777307093,24.738678249025465,24.761661529541016,25800,0.0,0.0,0.0
2015-01-07 00:00:00-05:00,24.78464345182778,24.868919372558594,24.78464345182778,24.868919372558594,33100,0.0,0.0,0.0
2015-01-08 00:00:00-05:00,25.014487534767017,25.014487534767017,24.899565295136494,25.006824493408203,57400,0.0,0.0,0.0
2015-01-09 00:00:00-05:00,25.068112066251903,25.068112066251903,24.937866692827505,24.953189849853516,29200,0.0,0.0,0.0
2015-01-12 00:00:00-05:00,24.930217267601662,24.945540431199422,24.899570940406146,24.914894104003906,16100,0.0,0.0,0.0
2015-01-13 00:00:00-05:00,24.95319652366449,25.02980940669153,24.891906801761692,24.922550201416016,28800,0.0,0.0,0.0
2015-01-14 00:00:00-05:00,24.85360144961287,24.930217267601662,24.85360144961287,24.914894104003906,17300,0.0,0.0,0.0
2015-01-15 00:00:00-05:00,24.97617167442366,24.97617167442366,24.90721893310547,24.90721893310547,39600,0.0,0.0,0.0
2015-01-16 00:00:00-05:00,24.861256004372986,24.97617530822754,24.861256004372986,24.97617530822754,74400,0.0,0.0,0.0
2015-01-20 00:00:00-05:00,25.02214765353187,25.029807772296724,24.96085793563116,25.006824493408203,92200,0.0,0.0,0.0
2015-01-21 00:00:00-05:00,24.97617654145276,25.068115496188334,24.97617654145276,25.02980613708496,33600,0.0,0.0,0.0
2015-01-22 00:00:00-05:00,25.144733428955078,25.160056591161077,25.037474216107444,25.144733428955078,20700,0.0,0.0,0.0
2015-01-23 00:00:00-05:00,25.21367349968472,25.21367349968472,25.144720765780306,25.15238380432129,54200,0.0,0.0,0.0
2015-01-26 00:00:00-05:00,25.121739678619146,25.206015574336874,25.121739678619146,25.175369262695312,58900,0.0,0.0,0.0
2015-01-27 00:00:00-05:00,25.167704036217483,25.190690229247544,25.137060649832208,25.15238380432129,20200,0.0,0.0,0.0
2015-01-28 00:00:00-05:00,25.206018134003035,25.206018134003035,25.060449600219727,25.060449600219727,32200,0.0,0.0,0.0
2015-01-29 00:00:00-05:00,25.12174082358338,25.152387136621698,25.029801884468426,25.13706398010254,33000,0.0,0.0,0.0
2015-01-30 00:00:00-05:00,25.1523873198504,25.1523873198504,25.060448380065694,25.068111419677734,14900,0.0,0.0,0.0
2015-02-02 00:00:00-05:00,25.144728861576105,25.144728861576105,24.97617703052084,25.106422424316406,293000,0.0,0.0,0.0
2015-02-03 00:00:00-05:00,25.175454061350408,25.175454061350408,25.014414827541966,25.114105224609375,66900,0.03,0.0,0.0
2015-02-04 00:00:00-05:00,24.999066015940205,25.1524351113385,24.999066015940205,25.129430770874023,38100,0.0,0.0,0.0
2015-02-05 00:00:00-05:00,25.075744404535623,25.198439058506942,25.052737145791983,25.16776466369629,38900,0.0,0.0,0.0
2015-02-06 00:00:00-05:00,25.121764161407796,25.121764161407796,24.945390701293945,24.945390701293945,51800,0.0,0.0,0.0
2015-02-09 00:00:00-05:00,24.922381932543868,24.999065014535176,24.89937759300089,24.95305633544922,26600,0.0,0.0,0.0
2015-02-10 00:00:00-05:00,24.90704473109119,24.99139787644487,24.90704473109119,24.95305633544922,30000,0.0,0.0,0.0
2015-02-11 00:00:00-05:00,24.999069453273265,24.999069453273265,24.907049153490515,24.945390701293945,25900,0.0,0.0,0.0
2015-02-12 00:00:00-05:00,25.022068415421085,25.068077087402344,25.022068415421085,25.068077087402344,14200,0.0,0.0,0.0
2015-02-13 00:00:00-05:00,25.06040341439715,25.114082134556213,25.06040341439715,25.09107780456543,32300,0.0,0.0,0.0
2015-02-17 00:00:00-05:00,24.953060101016828,25.098759148896004,24.930052832729842,25.029743194580078,41800,0.0,0.0,0.0
2015-02-18 00:00:00-05:00,25.083407744387934,25.144756524724492,25.022061889322227,25.09107780456543,11700,0.0,0.0,0.0
2015-02-19 00:00:00-05:00,25.16011685216515,25.16011685216515,25.075763664283,25.114105224609375,38800,0.0,0.0,0.0
2015-02-20 00:00:00-05:00,25.152427457648532,25.22144338331314,25.106418790719655,25.206106185913086,38400,0.0,0.0,0.0
2015-02-23 00:00:00-05:00,25.121754560186794,25.221444886593385,25.121754560186794,25.198440551757812,30200,0.0,0.0,0.0
2015-02-24 00:00:00-05:00,25.121756226521367,25.336474091891063,25.121756226521367,25.290462493896484,75600,0.0,0.0,0.0
2015-02-25 00:00:00-05:00,25.459166214725226,25.459166214725226,25.27512276642748,25.336471557617188,55400,0.0,0.0,0.0
2015-02-26 00:00:00-05:00,25.336481332151084,25.39016008251506,25.229123831423134,25.28280258178711,55700,0.0,0.0,0.0
2015-02-27 00:00:00-05:00,25.313471941951324,25.359483549237286,25.25979319608716,25.298137664794922,56000,0.0,0.0,0.0
2015-03-02 00:00:00-05:00,25.3824795681068,25.3824795681068,25.206106185913086,25.206106185913086,51700,0.0,0.0,0.0
2015-03-03 00:00:00-05:00,25.390324390091916,25.397998531961104,25.183087424292925,25.19076156616211,163700,0.03,0.0,0.0
2015-03-04 00:00:00-05:00,25.321253791691102,25.321253791691102,25.083314323685613,25.144716262817383,39700,0.0,0.0,0.0
2015-03-05 00:00:00-05:00,25.198447143030226,25.236823721220674,25.144716420029315,25.175418853759766,55400,0.0,0.0,0.0
2015-03-06 00:00:00-05:00,25.175410083073903,25.198438364321696,24.929796554688338,24.991201400756836,50800,0.0,0.0,0.0
2015-03-09 00:00:00-04:00,25.067949988511927,25.075624128907958,24.960494455305383,25.021896362304688,32200,0.0,0.0,0.0
2015-03-10 00:00:00-04:00,24.945143776311117,25.00654861255811,24.922118426690368,24.952817916870117,27500,0.0,0.0,0.0
2015-03-11 00:00:00-04:00,24.93747362441901,25.014226754060417,24.914445343171217,24.991201400756836,13600,0.0,0.0,0.0
2015-03-12 00:00:00-04:00,25.098665079458947,25.098665079458947,25.01423485275146,25.067962646484375,43900,0.0,0.0,0.0
2015-03-13 00:00:00-04:00,24.97584707252323,25.021897773383756,24.929793443718854,24.945144653320312,31300,0.0,0.0,0.0
2015-03-16 00:00:00-04:00,25.075628457392934,25.129359161214733,25.037251892900954,25.1140079498291,13700,0.0,0.0,0.0
2015-03-17 00:00:00-04:00,25.114007080771568,25.129358291625977,25.037251026499526,25.129358291625977,21500,0.0,0.0,0.0
2015-03-18 00:00:00-04:00,25.090981288747848,25.397999680394342,25.08330714653166,25.382648468017578,35900,0.0,0.0,0.0
